Date,FFRateMomChg,CPIMOM,GoldRtnMoM
30-11-2024,-0.25,0.3,-0.033572182
31-10-2024,0,0.2,0.042942225
30-09-2024,-0.5,0.2,0.052545418
31-08-2024,0,0.2,0.032145065
31-07-2024,0,0.2,0.037143101
30-06-2024,0,-0.1,0.007189289
31-05-2024,0,0,0.008684702
30-04-2024,0,0.3,0.038558672
31-03-2024,0,0.4,0.079184309
29-02-2024,0,0.4,0.003075571
31-01-2024,0,0.3,-0.011294526
31-12-2023,0,0.2,0.016535008
30-11-2023,0,0.2,0.021962593
31-10-2023,0,0.1,0.079108273
30-09-2023,0,0.4,-0.050796097
31-08-2023,0,0.5,-0.011925907
31-07-2023,0.25,0.2,0.021301959
30-06-2023,0,0.2,-0.017567086
31-05-2023,0.25,0.1,-0.017607924
30-04-2023,0,0.4,0.015286948
31-03-2023,0.25,0.1,0.072031361
28-02-2023,0.25,0.4,-0.048095361
31-01-2023,0,0.5,0.056565546
31-12-2022,0.5,0.1,0.045933562
30-11-2022,0.75,0.3,0.064179923
31-10-2022,0,0.5,-0.013053417
30-09-2022,0.75,0.4,-0.031743258
31-08-2022,0,0.1,-0.026093369
31-07-2022,0.75,0,-0.024567034
30-06-2022,0.75,1.2,-0.01921094
31-05-2022,0.5,0.9,-0.036093529
30-04-2022,0,0.4,-0.019238662
31-03-2022,0.25,1.1,0.025516915
28-02-2022,0,0.8,0.058885794
31-01-2022,0,0.6,-0.018374713
31-12-2021,0,0.7,0.031010374
30-11-2021,0,0.9,-0.005773866
31-10-2021,0,0.9,0.016293511
30-09-2021,0,0.4,-0.033318647
31-08-2021,0,0.3,0.00176542
31-07-2021,0,0.5,0.023142922
30-06-2021,0,0.8,-0.068804205
31-05-2021,0,0.6,0.076257283
30-04-2021,0,0.7,0.031450578
31-03-2021,0,0.5,-0.008676539
28-02-2021,0,0.4,-0.064147675
31-01-2021,0,0.2,-0.025222943
31-12-2020,0,0.4,0.067241088
30-11-2020,0,0.2,-0.05542848
31-10-2020,0,0.1,-0.00402649
30-09-2020,0,0.2,-0.042121289
31-08-2020,0,0.4,0.003922967
31-07-2020,0,0.5,0.090141627
30-06-2020,0,0.5,0.036616961
31-05-2020,0,-0.1,0.025203636
30-04-2020,0,-0.8,0.069976001
31-03-2020,-1.5,-0.4,0.010659348
29-02-2020,0,0.1,-0.01023438
31-01-2020,0,0.1,0.039262031
31-12-2019,0,0.3,0.039233079
30-11-2019,0,0.3,-0.032479535
31-10-2019,-0.25,0.3,0.033499352
30-09-2019,-0.25,0.2,-0.037623112
31-08-2019,0,0.1,0.067947549
31-07-2019,-0.25,0.2,0.008771309
30-06-2019,0,0,0.082631337
31-05-2019,0,0,0.015633507
30-04-2019,0,0.4,-0.005645785
31-03-2019,0,0.4,-0.017551858
28-02-2019,0,0.3,-0.002727893
31-01-2019,0,-0.1,0.029969562
31-12-2018,0.25,0.1,0.050073758
30-11-2018,0,-0.1,0.004279835
31-10-2018,0,0.2,0.019723038
30-09-2018,0.25,0.2,-0.008405459
31-08-2018,0,0.2,-0.018059982
31-07-2018,0,0.1,-0.024551614
30-06-2018,0.25,0.1,-0.035074225
31-05-2018,0,0.2,-0.014478472
30-04-2018,0,0.3,-0.0027215
31-03-2018,0.25,0,0.003718036
28-02-2018,0,0.3,-0.015758028
31-01-2018,0,0.4,0.022683877
31-12-2017,0.25,0.2,0.028353754
30-11-2017,0,0.3,0.002125148
31-10-2017,0,0.1,-0.008583691
30-09-2017,0,0.5,-0.028062192
31-08-2017,0,0.4,0.040975841
31-07-2017,0,0,0.019560493
30-06-2017,0.25,0.1,-0.023349057
31-05-2017,0,-0.1,0.002917291
30-04-2017,0,0.1,0.016836367
31-03-2017,0.25,0,-0.005263578
28-02-2017,0,0.2,0.037481383
31-01-2017,0,0.4,0.049405227
31-12-2016,0.25,0.3,-0.016313632
30-11-2016,0,0.1,-0.080355039
31-10-2016,0,0.2,-0.030609914
30-09-2016,0,0.3,0.004128756
31-08-2016,0,0.2,-0.030467013
31-07-2016,0,-0.1,0.021505376
30-06-2016,0,0.3,0.087092526
31-05-2016,0,0.2,-0.058659434
30-04-2016,0,0.4,0.045616594
31-03-2016,0,0.3,-0.000162022
29-02-2016,0,-0.1,0.105696883
31-01-2016,0,0,0.053008866
31-12-2015,0.25,-0.1,-0.005254269
30-11-2015,0,0.1,-0.066234449
31-10-2015,0,0.1,0.023218288
30-09-2015,0,-0.2,-0.014575972
31-08-2015,0,0,0.033884373
31-07-2015,0,0.2,-0.065625533
30-06-2015,0,0.3,-0.014797377
31-05-2015,0,0.3,0.005920162
30-04-2015,0,0.1,-0.000591666
31-03-2015,0,0.3,-0.024730031
28-02-2015,0,0.3,-0.051153696
31-01-2015,0,-0.6,0.079722996
31-12-2014,0,-0.3,0.007573179
30-11-2014,0,-0.2,0.003072721
31-10-2014,0,0,-0.032135481
30-09-2014,0,0,-0.05907501
31-08-2014,0,0,0.004058378
31-07-2014,0,0.1,-0.030786687
30-06-2014,0,0.1,0.061335902
31-05-2014,0,0.2,-0.038814723
30-04-2014,0,0.2,0.009739754
31-03-2014,0,0.2,-0.028904358
28-02-2014,0,0.1,0.065720506
31-01-2014,0,0.2,0.03143974
31-12-2013,0,0.3,-0.038621462
30-11-2013,0,0.2,-0.055223993
31-10-2013,0,0.1,-0.002110818
30-09-2013,0,0,-0.049648947
31-08-2013,0,0.2,0.063547699
31-07-2013,0,0.2,0.072485086
30-06-2013,0,0.2,-0.121283929
31-05-2013,0,0,-0.054004483
30-04-2013,0,-0.2,-0.076937547
31-03-2013,0,-0.3,0.010582346
28-02-2013,0,0.5,-0.049680838
31-01-2013,0,0.2,-0.009070295
31-12-2012,0,0,-0.020515518
30-11-2012,0,-0.2,-0.004769938
31-10-2012,0,0.3,-0.029360285
30-09-2012,0,0.5,0.050910817
31-08-2012,0,0.6,0.046445203
31-07-2012,0,0,0.003927191
30-06-2012,0,-0.1,0.026622296
31-05-2012,0,-0.2,-0.061050355
30-04-2012,0,0.2,-0.003055173
31-03-2012,0,0.2,-0.024542745
29-02-2012,0,0.2,-0.015249166
31-01-2012,0,0.3,0.109139648
31-12-2011,0,0,-0.102377542
30-11-2011,0,0.2,0.011766752
31-10-2011,0,0.1,0.064675389
30-09-2011,0,0.2,-0.114196687
31-08-2011,0,0.3,0.123441626
31-07-2011,0,0.3,0.08351078
30-06-2011,0,0,-0.021550882
31-05-2011,0,0.3,-0.013171421
30-04-2011,0,0.5,0.081659601
31-03-2011,0,0.5,0.020568835
28-02-2011,0,0.3,0.057055031
31-01-2011,0,0.3,-0.061629379
31-12-2010,0,0.4,0.026281588
30-11-2010,0,0.3,0.020182675
31-10-2010,0,0.3,0.038079217
30-09-2010,0,0.2,0.047077662
31-08-2010,0,0.1,0.056951849
31-07-2010,0,0.2,-0.051529015
30-06-2010,0,0,0.027800693
31-05-2010,0,-0.1,0.026679089
